sample,fastq_1,fastq_2,group,batch,assay
SAMPLE01,data/SAMPLE01_R1.fastq.gz,data/SAMPLE01_R2.fastq.gz,group1,batch1,transcriptome
SAMPLE02,data/SAMPLE02_R1.fastq.gz,data/SAMPLE02_R2.fastq.gz,group1,batch1,transcriptome
